                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0445,                 2.6343,                 1.3958,                0.61376,                0.72531,                 0.5943,                0.41314,                0.96163,                 7.7292,                 1.4407,             0.00025005,             0.00025005,             0.00025005
                      2,                0.94767,                 1.3044,                 1.2803,                0.62931,                0.56861,                0.58734,                0.36387,                  1.357,                 4.5633,                 1.8605,             0.00049972,             0.00049972,             0.00049972
                      3,                 1.0409,                 1.2346,                 1.3538,                0.43677,                0.63575,                 0.3653,                0.24387,                 1.4563,                 24.691,                 2.6508,             0.00073178,             0.00073178,             0.00073178
                      4,                 1.1538,                 1.3106,                 1.4485,                0.15751,                0.09533,                0.03472,                0.02164,                 2.8672,                    inf,                  5.272,             0.00094624,             0.00094624,             0.00094624
                      5,                 1.1626,                 1.2614,                 1.4586,                0.37611,                0.33387,                0.17286,                0.11273,                 2.0809,                    inf,                 3.2665,              0.0011431,              0.0011431,              0.0011431
                      6,                 1.1601,                    1.2,                 1.4439,                0.42005,                0.43595,                0.29343,                0.17719,                 1.7449,                 14.331,                 2.5272,              0.0013223,              0.0013223,              0.0013223
                      7,                 1.1135,                  1.168,                  1.409,                0.53374,                0.54833,                0.48916,                0.27684,                  1.622,                 4.2691,                 2.2898,              0.0013369,              0.0013369,              0.0013369
                      8,                   1.12,                 1.1235,                  1.406,                0.55368,                0.52701,                0.50847,                0.28506,                 1.5458,                 3.8856,                 2.1068,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.1594,                 1.1599,                 1.4609,                 0.5043,                0.55597,                0.42174,                0.25609,                 1.7531,                 2.9724,                 2.1118,              0.0012269,              0.0012269,              0.0012269
                     10,                  1.125,                 1.1495,                 1.4165,                0.47785,                0.63406,                0.52233,                0.33867,                 1.3324,                 2.3932,                 1.7558,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.0558,                 1.0334,                 1.3715,                0.62472,                0.56374,                0.57751,                0.36403,                 1.4187,                 1.9934,                 1.8437,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.0221,                 0.9631,                 1.3863,                0.72262,                0.66764,                0.71324,                0.47292,                 1.3025,                 1.4326,                 1.7432,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.0056,                0.96454,                 1.3419,                0.78623,                 0.6519,                0.74402,                 0.5082,                 1.1333,                  1.521,                 1.5411,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.0094,                0.96052,                  1.322,                0.79358,                0.72126,                0.73503,                0.50089,                 1.1423,                 1.1487,                 1.5312,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.0009,                0.92485,                 1.3387,                0.81756,                0.73241,                0.77295,                0.52793,                 1.1267,                 1.0479,                  1.492,             0.00089685,             0.00089685,             0.00089685
                     16,                0.99322,                0.93574,                 1.3238,                0.81872,                0.72028,                0.76537,                0.52326,                 1.1524,                  1.042,                 1.5081,             0.00084184,             0.00084184,             0.00084184
                     17,                0.88484,                0.83639,                  1.258,                0.85901,                0.70256,                0.77853,                0.55407,                 1.1126,                0.97191,                 1.5003,             0.00078682,             0.00078682,             0.00078682
                     18,                0.92466,                 0.8377,                 1.2788,                0.85758,                0.71625,                0.81295,                0.58755,                 1.0012,                0.96464,                 1.3674,             0.00073181,             0.00073181,             0.00073181
                     19,                0.87576,                0.80626,                 1.2306,                0.88051,                0.69553,                0.81969,                0.59648,                 1.0037,                0.90503,                   1.37,              0.0006768,              0.0006768,              0.0006768
                     20,                0.84131,                0.77901,                 1.2211,                0.81969,                0.75924,                0.84187,                0.59713,                0.97363,                0.82825,                 1.3996,             0.00062179,             0.00062179,             0.00062179
                     21,                0.81247,                 0.7902,                 1.1912,                0.86448,                0.74582,                0.84143,                0.60213,                0.98141,                0.81201,                 1.3825,             0.00056678,             0.00056678,             0.00056678
                     22,                0.78489,                0.72804,                 1.2059,                0.81576,                0.77263,                0.82385,                0.60083,                0.97014,                0.82962,                 1.3584,             0.00051177,             0.00051177,             0.00051177
                     23,                0.78051,                0.69335,                 1.1683,                 0.8703,                0.75077,                0.83677,                0.60818,                0.96037,                0.83569,                 1.3555,             0.00045676,             0.00045676,             0.00045676
                     24,                0.73637,                0.67269,                 1.1602,                0.83208,                0.76605,                0.83783,                 0.6203,                0.93714,                0.83087,                 1.3107,             0.00040175,             0.00040175,             0.00040175
                     25,                0.72519,                0.66275,                 1.1607,                0.85787,                0.73907,                0.83719,                 0.6265,                0.90751,                0.79386,                 1.2773,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69708,                 0.6306,                 1.1196,                0.83183,                0.77746,                0.84512,                0.63755,                0.90948,                0.73973,                 1.2868,             0.00029172,             0.00029172,             0.00029172
                     27,                0.67705,                0.57549,                 1.0986,                0.86398,                0.78234,                0.84832,                0.63386,                0.90671,                0.72211,                 1.2871,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69465,                0.60925,                 1.1448,                0.85755,                0.79051,                 0.8605,                0.64127,                0.89236,                0.72566,                 1.2672,              0.0001817,              0.0001817,              0.0001817
                     29,                0.65194,                0.55568,                 1.0879,                0.83386,                0.81146,                0.85291,                0.64153,                0.87699,                0.71274,                 1.2437,             0.00012669,             0.00012669,             0.00012669
                     30,                0.61995,                0.55624,                 1.0719,                  0.868,                0.79743,                0.86285,                 0.6516,                0.86087,                0.69292,                 1.2396,             7.1681e-05,             7.1681e-05,             7.1681e-05
